sample_idx,condition,attack_type,deletion_auc,insertion_auc,score,ecs,ecs_nr_proxy,stability,spectral_alignment,faithfulness_preservation
30,N2_awgn10,bonafide,0.5458714767197295,0.5354777733193221,1.0,0.781856180895603,0.4630413919687271,0.8535082936286926,0.4703361988067627,0.9978400126736572
31,C0_clean,bonafide,0.545174604635403,0.5289594672416307,1.0,0.8570363058839472,0.4274281352758408,1.0,0.5272242426872253,0.9962301102592653
31,C8_opus16,bonafide,0.5404742957826347,0.5429127723122847,1.0,0.8186418084666767,0.4381660282611847,0.9087343811988831,0.5180906057357788,0.9990695808879664
31,C9_opus6,bonafide,0.5512082639977621,0.5143973448425216,1.0,0.26872450937127573,0.16376010239124297,0.18756522238254547,0.05972194075584411,0.5859394606383477
31,N1_awgn20,bonafide,0.5512785979802913,0.538738225449906,1.0,0.7894036662110167,0.46528705656528474,0.8551794290542603,0.5009801983833313,0.990126116914377
31,N2_awgn10,bonafide,0.5472265173754457,0.5258648339854324,1.0,0.7833966319967032,0.5030819475650787,0.8460255265235901,0.4891098737716675,0.9941781975192227
32,C0_clean,bonafide,0.5326070687711009,0.5457187702160347,1.0,0.8581067043464592,0.4274281352758408,1.0,0.5385933518409729,0.988428995980558
32,C8_opus16,bonafide,0.5397488728065184,0.5413385969545091,1.0,0.817257935199037,0.4381660223007202,0.9087343811988831,0.5169764757156372,0.9955708000159755
32,C9_opus6,bonafide,0.5537938148994297,0.5257883127743612,1.0,0.26989895181169005,0.16319231778383256,0.18846049904823303,0.0920381247997284,0.5563443825082611
32,N1_awgn20,bonafide,0.5507239328085597,0.5388350961539731,1.0,0.7722973798377271,0.49932668507099154,0.8412461876869202,0.4592088758945465,0.9934541399819832
32,N2_awgn10,bonafide,0.5474028702989945,0.5431776979431799,1.0,0.778694791358312,0.4780485421419144,0.8371411561965942,0.4826858937740326,0.9967752024915484
33,C0_clean,bonafide,0.537236771133265,0.5448192515935768,1.0,0.8425418847720745,0.4274281352758408,1.0,0.4786796569824219,0.9964599589244931
